35651,AL,MOUNT HOPE,34.456718,-87.481117,1821
35652,AL,ROGERSVILLE,34.8256425,-87.2947417,6521
35653,AL,RUSSELLVILLE,34.5078726,-87.7286431,17767
35660,AL,SHEFFIELD,34.7650887,-87.6986407,10685
35661,AL,MUSCLE SHOALS,34.7448112,-87.66752919999999,11777
35670,AL,SOMERVILLE,34.4731491,-86.79861199999999,5184
35671,AL,TANNER,34.731389,-86.970556,2578
35672,AL,TOWN CREEK,34.6812011,-87.4061342,9049
35673,AL,TRINITY,34.6067588,-87.0883458,1758
35674,AL,TUSCUMBIA,34.7312005,-87.70253,17880
35677,AL,WATERLOO,34.9181425,-88.06420299999999,1899
35739,AL,ARDMORE,34.98336,-86.8366269,1898
35740,AL,BRIDGEPORT,34.9475807,-85.7144155,3988
35741,AL,BROWNSBORO,34.7341405,-86.4693235,1793
35744,AL,DUTTON,34.6109183,-85.91691999999999,2948
35745,AL,ESTILLFORK,34.9574063,-86.1955169,718
35746,AL,FACKLER,34.7920916,-85.9113227,396
35747,AL,GRANT,34.5286985,-86.2533163,8345
35748,AL,GURLEY,34.7017558,-86.3758201,4642
35749,AL,HARVEST,34.8556441,-86.7508323,5701
35750,AL,HAZEL GREEN,34.9323102,-86.57193830000001,7751
35751,AL,HOLLYTREE,34.8163773,-86.26664629999999,260
35752,AL,HOLLYWOOD,34.72425,-85.9724787,2038
35754,AL,LACEYS SPRING,34.5278557,-86.6006249,7040
35755,AL,LANGSTON,34.5389756,-86.0744234,1041
35758,AL,TRIANA,34.6700167,-86.7520651,24398
35759,AL,MERIDIANVILLE,34.8514782,-86.57221539999999,2597
35760,AL,NEW HOPE,34.5370339,-86.3944307,4075
35761,AL,NEW MARKET,34.9100883,-86.42776769999999,5825
35763,AL,BIG COVE,34.6673131,-86.4888778,3156
35764,AL,PAINT ROCK,34.660644,-86.3288745,553
35765,AL,PISGAH,34.6809168,-85.8477523,3717
35766,AL,PRINCETON,34.843299,-86.24278059999999,273
35768,AL,HYTOP,34.916196,-86.0880384,16934
35771,AL,SECTION,34.5789747,-85.986644,2590
